k;Word;Cum. Entr.;p
1;king;0.9447519189946325;0.3625160737248178
2;letters;1.8263993283554671;0.3015430775825118
3;order;2.5509044546586908;0.29072010287183886
4;service;3.150579361236714;0.15762966138019718
5;bordeaux;3.70720833900819;0.1680240034290613
6;gascony;4.242444361487311;0.14562794684954994
7;duchy;4.710958666174778;0.13748392627518216
8;ordered;5.136993107451833;0.11701671667381054
9;granted;5.538809832616093;0.1191598799828547
10;grant;5.894036241683473;0.10533647663951994
11;seneschal;6.223403041731879;0.1723103300471496
12;according;6.503247795698216;0.09558508358336905
13;nominating;6.779431698524067;0.09172738962708958
14;year;7.036619838404569;0.09504929275610802
15;office;7.269812639926507;0.0745820831547364
16;men;7.476814328747757;0.06911701671667381
17;son;7.677042119911969;0.04939991427346764
18;constable;7.863313034757039;0.17745392198885554
19;going;8.040997175671123;0.08690527218174025
20;castle;8.19025959679092;0.060544363480497215
